Country,Warming_since_1960,Warming_since_1960_uncertainty,Region
serbia,2.27,0.27,Europe
seychelles,1.8,0.46,
sierra-leone,1.82,0.28,Africa
singapore,1.45,0.22,Asia
sint-maarten,1.91,0.31,
slovakia,2.51,0.25,Europe
slovenia,3.07,0.28,Europe
solomon-islands,1.62,0.5,Oceania
somalia,2.14,0.5,Africa
south-africa,1.23,0.37,Africa
south-georgia-and-the-south-sandwich-isla,1.85,0.76,
south-korea,2.0,0.21,Asia
spain,2.57,0.24,Europe
sri-lanka,1.37,0.28,Asia
sudan,2.04,0.22,Africa
suriname,1.75,0.22,South America
svalbard-and-jan-mayen,5.45,0.81,Europe
swaziland,1.43,0.31,Africa
sweden,2.95,0.27,Europe
switzerland,2.83,0.23,Europe
syria,1.95,0.19,Asia
taiwan,1.46,0.28,Asia
tajikistan,2.66,0.28,Asia
tanzania,1.98,0.27,Africa
thailand,1.07,0.24,Asia
timor-leste,0.9,0.41,Asia
togo,1.75,0.46,Africa
tonga,1.34,0.43,
trinidad-and-tobago,1.6,0.37,South America
tunisia,3.12,0.31,Africa
turkey,1.6,0.22,Asia
turkmenistan,3.19,0.26,Asia
turks-and-caicas-islands,1.5,0.39,
uganda,1.78,0.17,Africa
ukraine,2.66,0.21,Europe
united-arab-emirates,3.36,0.57,Asia
united-kingdom,2.3,0.26,Europe
united-kingdom-(europe),2.35,0.26,Europe
united-states,2.36,0.13,North America
uruguay,1.56,0.45,South America
uzbekistan,2.72,0.29,Asia
venezuela,1.33,0.31,South America
vietnam,0.91,0.27,Asia
virgin-islands,1.88,0.3,
western-sahara,2.49,0.69,Africa
yemen,2.5,0.55,Asia
zambia,1.77,0.27,Africa
zimbabwe,1.5,0.22,Africa
